baseline,seed,fold,auroc,auprc,f1,threshold
TransformerAE,1337,4,0.6985874384737419,0.08926877851063227,0.15616438356164383,0.011417913325130938
DeepSVDD,1337,4,0.6706209575723061,0.0986024699247439,0.13043478260869565,0.0008270103309769185
IsolationForest,1337,5,0.7410222672064777,0.11425685621930759,0.19676945668135096,-0.0591186550958956
LSTMAE,1337,5,0.7877479757085021,0.13985054217288148,0.21072088724584104,0.18250856667757034
CNNAE,1337,5,0.7381882591093119,0.10571937295686806,0.192,0.3287415063381195
TransformerAE,1337,5,0.7182186234817813,0.09902937656311156,0.15244596131968147,0.002044523498043418
DeepSVDD,1337,5,0.6933097165991904,0.12137322288220928,0.18309859154929578,0.0004930506664095446
IsolationForest,2024,1,0.7014220527926992,0.08716580905048145,0.15089820359281436,-0.042109134432602446
LSTMAE,2024,1,0.7763830647490326,0.1105238222615226,0.17954070981210857,0.16566489994525907
CNNAE,2024,1,0.7398994974874372,0.11552851482000474,0.17382617382617382,0.3295137715339661
TransformerAE,2024,1,0.7360365043608849,0.1005945881023719,0.1560379918588874,0.005194991105236114
DeepSVDD,2024,1,0.6391543926529197,0.09720466554435828,0.15296367112810708,0.0008586075948551296
IsolationForest,2024,2,0.6960205923974041,0.08090595467862192,0.14669051878354203,-0.03098870429486017
LSTMAE,2024,2,0.7869565217391304,0.12308003353018616,0.18584070796460178,0.1677960902452469
CNNAE,2024,2,0.7534060410872006,0.09057400261420749,0.16923076923076924,0.28702712655067447
TransformerAE,2024,2,0.706963353340165,0.08053457400957402,0.13793103448275862,0.0038396529853343964
DeepSVDD,2024,2,0.7052896110867125,0.10273030814563763,0.14786967418546365,0.00018461219442542643
IsolationForest,2024,3,0.7163477372478643,0.09158638674382266,0.16117216117216118,-0.037479159763295286
LSTMAE,2024,3,0.7696852378359849,0.1091701621830058,0.16695059625212946,0.10463121533393857
CNNAE,2024,3,0.735829653378501,0.10364874607332006,0.15813953488372093,0.23641568243503572
TransformerAE,2024,3,0.7123350741704139,0.09633944356877291,0.15482841181165202,0.0030638775788247585
DeepSVDD,2024,3,0.7373587670302932,0.10477733492212013,0.16810344827586207,0.0001616202760487795
IsolationForest,2024,4,0.7792936175405768,0.11934127893244825,0.21138211382113822,-0.049624353605155665
LSTMAE,2024,4,0.7590408005532279,0.12291815095953233,0.17073170731707318,0.17483249947428708
CNNAE,2024,4,0.7023451165439532,0.0862590059859644,0.15577889447236182,0.2826242390275002
TransformerAE,2024,4,0.6750803400724078,0.09034122484719045,0.13036565977742448,0.0020170629769563674
DeepSVDD,2024,4,0.6239626977992923,0.09716624282032892,0.14565826330532214,0.00039768036222085355
IsolationForest,2024,5,0.7344736842105263,0.10535306324080254,0.18683651804670912,-0.04443622434183531
LSTMAE,2024,5,0.7805668016194333,0.13744426393342485,0.20344287949921752,0.14954976111650473
CNNAE,2024,5,0.7425253036437246,0.1122268205321299,0.17793594306049823,0.3528813302516937
TransformerAE,2024,5,0.6971912955465587,0.09390862123636368,0.14465408805031446,0.015627151932567345
DeepSVDD,2024,5,0.714412955465587,0.13990757555608804,0.18705035971223022,0.0006276072713080787
